gene_id	feature_id	lr	df	pvalue	adj_pvalue	mean_proportion_ref	mean_proportion_comp	log2FC
ENSG00000223639	ENST00000423143.5	2.722046048	1	0.098971076	0.336790743	0.209035409	0.162923261	-0.359554745
ENSG00000182774	ENST00000560612.1	2.72054549	1	0.099064155	0.336961699	0.001785379	0.000709985	-1.33037041
ENSG00000100823	ENST00000398030.8	2.719784549	1	0.099111393	0.337040964	0.179855275	0.242247771	0.429646914
ENSG00000229684	ENST00000412136.5	2.716215491	1	0.09933328	0.337632452	0.208697507	0.170612712	-0.290688222
ENSG00000275125	ENST00000626354.2	2.716340209	1	0.099325517	0.337632452	0.092013686	0.12692828	0.464093181
ENSG00000168036	ENST00000715152.1	2.714529143	1	0.099438309	0.337907882	0.063525863	0.083306249	0.391080643
ENSG00000160932	ENST00000429120.6	2.712877825	1	0.099541273	0.338176165	0.152918871	0.186067335	0.283058351
ENSG00000111237	ENST00000546588.1	2.710402415	1	0.09969584	0.338619588	0.150989778	0.16926562	0.164838084
ENSG00000147419	ENST00000356537.9	2.707629068	1	0.099869321	0.339127027	0.403751187	0.51442968	0.34950738
ENSG00000073578	ENST00000514027.5	2.7050818	1	0.100028951	0.339216481	0.111476213	0.151573025	0.443277128
ENSG00000145782	ENST00000505993.5	2.705395841	1	0.100009256	0.339216481	0.161815875	0.194091571	0.262384309
ENSG00000147065	ENST00000697142.1	2.704902523	1	0.100040196	0.339216481	0.117735596	0.099063764	-0.249121218
ENSG00000167113	ENST00000609948.1	2.706524163	1	0.099938528	0.339216481	0.237789988	0.409774878	0.78514357
ENSG00000169223	ENST00000694905.1	2.705142779	1	0.100025127	0.339216481	0.092979778	0.127596651	0.456601576
ENSG00000183648	ENST00000617122.1	2.705586636	1	0.099997292	0.339216481	0.283738677	0.297506162	0.068356728
ENSG00000198668	ENST00000544280.6	2.703143507	1	0.100150605	0.339509105	0.121517898	0.108568389	-0.162564709
ENSG00000102317	ENST00000376759.8	2.702089885	1	0.100216802	0.339544457	0.491827885	0.550220372	0.161856022
ENSG00000142534	ENST00000602252.5	2.702272368	1	0.100205334	0.339544457	0.1971957	0.210742014	0.095849872
ENSG00000160050	ENST00000461819.5	2.701826311	1	0.100233369	0.339544457	0.181156156	0.110965142	-0.707127284
ENSG00000014641	ENST00000409908.5	2.700683583	1	0.100305231	0.339692468	0.158737559	0.110080543	-0.528084033
ENSG00000265681	ENST00000618613.5	2.700364508	1	0.100325307	0.339692468	0.115852278	0.103420964	-0.163757744
ENSG00000138326	ENST00000480662.2	2.699216478	1	0.100397575	0.339855445	0.001000888	0.000238322	-2.07029706
ENSG00000163931	ENST00000423525.6	2.698248991	1	0.100458522	0.339980031	0.03921095	0.026756737	-0.551354397
ENSG00000138613	ENST00000560353.1	2.694931671	1	0.100667805	0.340606445	0.122085042	0.087955952	-0.47303334
ENSG00000232956	ENST00000580528.2	2.689550704	1	0.101008292	0.341676379	0.213852814	0.144276126	-0.567785598
ENSG00000147140	ENST00000473525.2	2.688742962	1	0.101059511	0.341702673	0.02721324	0.038203331	0.489389678
