transcript_id,q_value
ENST00000517881.1,4.87E-10
ENST00000675134.1,4.90E-10
ENST00000652380.1,4.94E-10
ENST00000497322.1,4.94E-10
ENST00000645521.1,5.06E-10
ENST00000569148.1,5.20E-10
ENST00000484321.5,5.20E-10
ENST00000551094.5,5.30E-10
ENST00000550171.5,5.58E-10
ENST00000524810.5,5.60E-10
ENST00000392217.3,5.60E-10
ENST00000465573.1,5.61E-10
ENST00000614624.4,5.68E-10
ENST00000633512.1,5.71E-10
ENST00000506855.1,6.05E-10
ENST00000511075.5,6.21E-10
ENST00000616442.4,6.29E-10
ENST00000530225.5,6.61E-10
ENST00000426763.3,6.75E-10
ENST00000290299.7,6.78E-10
ENST00000634230.1,6.89E-10
ENST00000447184.6,7.28E-10
ENST00000563744.1,7.51E-10
ENST00000441429.1,8.28E-10
ENST00000675191.1,8.42E-10
ENST00000409800.5,9.35E-10
ENST00000677356.1,9.61E-10
ENST00000602858.5,1.03E-09
ENST00000472321.1,1.05E-09
ENST00000647451.1,1.06E-09
ENST00000549562.1,1.07E-09
ENST00000652678.1,1.10E-09
ENST00000677543.1,1.10E-09
ENST00000215909.10,1.11E-09
ENST00000005257.7,1.12E-09
ENST00000549370.5,1.13E-09
ENST00000612838.4,1.18E-09
ENST00000368439.5,1.19E-09
ENST00000585362.7,1.20E-09
ENST00000588830.1,1.24E-09
ENST00000645849.1,1.24E-09
ENST00000393366.7,1.27E-09
ENST00000549533.1,1.35E-09
ENST00000639289.1,1.35E-09
ENST00000575427.1,1.43E-09
ENST00000550765.6,1.45E-09
ENST00000708942.1,1.49E-09
ENST00000553100.1,1.52E-09
ENST00000580755.1,1.53E-09
ENST00000518696.5,1.68E-09
ENST00000502658.1,1.73E-09
ENST00000488388.2,1.73E-09
ENST00000311212.9,1.76E-09
ENST00000496292.5,1.77E-09
ENST00000585722.1,1.78E-09
ENST00000586218.5,1.80E-09
ENST00000673721.1,1.89E-09
ENST00000636618.1,1.94E-09
ENST00000553965.1,2.03E-09
ENST00000630342.1,2.07E-09
ENST00000614486.4,2.14E-09
ENST00000486668.5,2.16E-09
ENST00000371657.9,2.20E-09
ENST00000553066.5,2.26E-09
ENST00000584514.5,2.27E-09
ENST00000270586.8,2.29E-09
ENST00000479153.1,2.30E-09
ENST00000548725.5,2.31E-09
ENST00000530666.1,2.37E-09
ENST00000680011.1,2.37E-09
ENST00000552067.5,2.47E-09
ENST00000709236.1,2.68E-09
ENST00000524204.1,2.73E-09
ENST00000530721.5,2.77E-09
ENST00000540871.5,2.84E-09
ENST00000460985.1,2.85E-09
ENST00000463406.5,2.87E-09
ENST00000396828.8,3.01E-09
ENST00000366860.9,3.07E-09
ENST00000549759.2,3.20E-09
ENST00000463074.2,3.27E-09
ENST00000633361.1,3.27E-09
ENST00000472966.1,3.28E-09
