Gene name	fold change	p-value
ANAPC16	1.47920598867536	6.76349165097846E-12
TMEM14C	2.00387547839774	7.11386717044232E-12
MRPS24	2.22820919666531	7.41537376054528E-12
CKS1B	1.46261606887541	7.55228695492048E-12
MTLN	1.70932775498045	7.60269176659211E-12
PFDN5	1.70161782074082	7.88491710696826E-12
TMEM14C	2.00415385619915	7.92664657686764E-12
PIGP	1.9699892493929	7.92664657686764E-12
SNRPD3	2.04107162922935	8.0755213765406E-12
RPS13	1.69344881583036	8.1636948644301E-12
CMC2	2.26279019020477	9.03425702281197E-12
COX6B1	1.40140850870539	9.03425702281197E-12
0	3.79551149747288	9.5805767052702E-12
MYL12B	1.13422607107183	1.09811042423179E-11
SNRPD2	1.53078086672961	1.09811042423179E-11
NDUFA7	1.81850588830646	1.09811042423179E-11
COX7A2	1.59192497355899	1.10131067562676E-11
NEDD8	1.62920323357884	1.1222506284002E-11
RACK1	0.888656033667727	1.12299273025191E-11
DANCR	1.81648552039775	1.14025864233205E-11
NR2F2	-4.36303893963093	1.24014461120495E-11
NEDD8	1.62215700395082	1.32738622984131E-11
ATP5MC2	1.92483030899201	1.36135173546869E-11
GTF3C6	1.44562674462203	1.3871441647027E-11
SSR3	1.55617705098028	1.47774464116612E-11
ANAPC15	2.13444644762917	1.526236164071E-11
LAMTOR2	1.61976848479456	1.54269264698919E-11
SNRPE	1.55209168965011	1.58433746223691E-11
RPS12	1.60421461102026	1.73819379743553E-11
RNF181	1.49656725331616	1.80259144232162E-11
RPL22L1	1.58762362066661	1.87062250566496E-11
LYPLAL1	3.16704446009692	2.00828126852928E-11
MRPS21	1.58601701022216	2.14889169332983E-11
TRAPPC2L	1.65087540059915	2.14911543389447E-11
SPCS1	2.23543722258804	2.26173436224856E-11
ATP6V1F	1.6960045760909	2.41179125609934E-11
5_8S_rRNA	-0.985643423057583	2.79947099145194E-11
NDUFB3	1.69931789574189	2.97417139102499E-11
SELENOK	2.18748440724486	3.03007286064092E-11
COX8A	1.59391065442414	3.07381094591438E-11
NPC2	1.33156653109952	3.42251159053361E-11
HIGD2A	2.22462455845343	3.65432566583794E-11
GGCX	1.84460819684048	3.96864760412685E-11
SNHG3	1.80357283619271	3.96864760412685E-11
GTF2H5	1.86349513568044	3.97383027943159E-11
5_8S_rRNA	-0.989612056264509	4.0875884262707E-11
CLIC1	1.51199861757359	4.18599688045745E-11
TBCA	1.59587943635941	4.26343592634067E-11
PSMB10	1.64453976408673	4.44843680005069E-11
GMFG	2.15969368949804	4.64923003511968E-11
KGD4	1.73046784170179	4.7022533457105E-11
COX14	1.69985012039017	4.73087693827609E-11
UQCRH	1.63682428184711	4.98708947861761E-11
UQCRQ	1.39809230396589	5.03504231641227E-11
OTUB1	1.33657496634795	5.23036835002261E-11
EIF1	1.24351879507185	5.31283523223079E-11
DPH3	1.94100601617109	5.67272501240833E-11
ASDURF	2.55957796019609	6.31977078142683E-11
SAT1	1.78627253619864	7.13011934165538E-11
DCTPP1	1.71476500887804	7.48592091079732E-11
HLA-A	1.30630647430904	7.92422614617864E-11
GMFG	2.20003937603382	8.17712754306028E-11
C1orf54	1.39958216787444	8.66428336983673E-11
RPL32	1.57032574370788	8.7671283596568E-11
CLIC1	1.35613462296708	9.00785969647725E-11
C2orf76	2.748002260057	9.01720030973558E-11
NOP16	2.2024026933687	1.01784431084287E-10
RPS17	1.51488763669771	1.01784431084287E-10
TPI1	0.867849305949877	1.04086958129595E-10
