gene_id	gene_name	logFC	logCPM	F	PValue	FDR
MSTRG.11290		-1.46770588773945	-0.306240509798712	2.014680498618	0.163169224093253	0.364283690587335
ENSG00000204394.13	VARS1	-0.747117361752021	1.38123995796404	2.01435649316821	0.163202286664608	0.364283690587335
MSTRG.7938		-0.583575038544024	2.54740652948217	2.01337948683068	0.163302031365254	0.364283690587335
MSTRG.4373	MSTRG.4373	0.280047985171302	5.49278677200331	2.01330999882067	0.163309128282538	0.364283690587335
MSTRG.5163		1.70802348613315	-0.918245783134809	2.01328156899689	0.163312031968891	0.364283690587335
MSTRG.11013	MSTRG.11013	0.350455656155114	4.06378295397263	2.0127520037832	0.163366130350133	0.364283690587335
MSTRG.12398	MSTRG.12398	1.3276893596014	-0.125149190600339	2.01176147322226	0.16346737590253	0.364283690587335
MSTRG.12839		-1.0029045121416	0.636037560532944	2.01154633011933	0.163489376194628	0.364283690587335
MSTRG.18271		-0.500286580656039	3.43272307415253	2.01116978555539	0.163527889616211	0.364283690587335
ENSG00000286044.1	ENSG00000286044	-1.5070648754219	-0.80276045816947	2.011153864381	0.163529518288237	0.364283690587335
MSTRG.12755		-1.26237453256593	0.0802561648146908	2.01068260902317	0.163577734470699	0.364283690587335
MSTRG.17255		-0.792161387462877	1.30484686344911	2.01055646467083	0.163590643689394	0.364283690587335
MSTRG.6210		-0.779059640531276	1.86574508062588	2.01040979471377	0.16360565494376	0.364283690587335
MSTRG.726	MSTRG.726	1.34861952049239	-0.389534252340385	2.01037012098576	0.16360971571628	0.364283690587335
MSTRG.13338		1.20309168193029	1.10026142615965	2.01036714980049	0.163610019834339	0.364283690587335
MSTRG.14606		-0.996825859655806	0.907126609181021	2.01014303642123	0.163632961059887	0.364283690587335
ENSG00000160712.13	IL6R	1.55622880537801	-0.951646143425771	2.01007880002799	0.163639537276963	0.364283690587335
MSTRG.15750		1.453808724199	-0.626211027086694	2.00982898335059	0.16366511528383	0.364283690587335
MSTRG.18802	MSTRG.18802	1.5156252228884	-1.00042100559524	2.00930934895104	0.163718334240949	0.364283690587335
MSTRG.5469		-1.73001969615158	-0.981269013431162	2.00840104091211	0.163811408646946	0.364283690587335
MSTRG.496	MSTRG.496	-0.73556637221468	1.81556081169444	2.00787413654918	0.163865429164354	0.364283690587335
MSTRG.27284	MSTRG.27284	1.53847370682604	-0.796037906654868	2.00786248117758	0.163866624360871	0.364283690587335
MSTRG.11903	MSTRG.11903	-0.340594747730153	4.29588410060447	2.00761773269536	0.163891724392496	0.364283690587335
MSTRG.1013	MSTRG.1013	0.635002995045553	2.1650555875643	2.00755562132811	0.163898094906848	0.364283690587335
MSTRG.8956		-1.31231899976088	-0.397058534222431	2.00685529978705	0.163969944286256	0.364283690587335
ENSG00000204209.13	DAXX	0.375290649328321	3.71999495581483	2.00658641008909	0.163997540846212	0.364283690587335
MSTRG.20869		0.86637363744646	1.19888391360133	2.00609586694873	0.164047900142699	0.364283690587335
ENSG00000291250.1	ENSG00000291250	1.69665550472593	-0.647432672282723	2.0060043917904	0.164057293024532	0.364283690587335
MSTRG.7421	MSTRG.7421	0.878880105562931	0.915903201549783	2.00575099430442	0.164083315777871	0.364283690587335
MSTRG.27506		-0.53669665203589	2.70907502155123	2.00574059318266	0.16408438402907	0.364283690587335
MSTRG.605	MSTRG.605	0.591551637480919	2.66351060606429	2.00562176263509	0.164096589147918	0.364283690587335
ENSG00000074410.14	CA12	-1.53800801478337	-1.07771606458404	2.00505998379969	0.164154304100694	0.364283690587335
MSTRG.27477	MSTRG.27477	-0.294888477566834	5.80138884547621	2.00422192249111	0.164240447713639	0.364283690587335
MSTRG.6712	MSTRG.6712	0.866427880532415	1.36253494831277	2.00364693465337	0.164299581053337	0.364283690587335
MSTRG.4143	MSTRG.4143	-0.513713526555592	3.67982985651351	2.00353888557956	0.164310695920348	0.364283690587335
MSTRG.17934		-0.565621045998215	2.69608376491246	2.00326324117602	0.164339055115672	0.364283690587335
MSTRG.14976	MSTRG.14976	1.05450567892084	0.729046555043098	2.00188981923846	0.164480443286822	0.364283690587335
MSTRG.22629	MSTRG.22629	-0.34014857190232	4.67134758623439	2.00141379186746	0.164529481825617	0.364283690587335
MSTRG.2041	MSTRG.2041	-0.282888421915054	6.26555760307369	2.00117441025489	0.164554148528147	0.364283690587335
ENSG00000272094.1	ENSG00000272094	-1.53293798294237	-1.10182447854906	2.00114117320497	0.164557573732541	0.364283690587335
MSTRG.14251		-0.762904260422766	1.51757560504244	2.00000995750775	0.164674199952575	0.364283690587335
ENSG00000277128.2	ENSG00000277128	-1.20006544471973	-0.111884363674718	2.00000969170378	0.164674227367919	0.364283690587335
MSTRG.8328		0.290341108737807	5.10238424043343	1.9994165278207	0.164735420420487	0.364283690587335
MSTRG.20290	MSTRG.20290	-0.646060953379009	1.92044049731123	1.99870068648133	0.164809305062282	0.364283690587335
MSTRG.4776		-0.653983447245754	1.83452128546525	1.99860762687631	0.164818912959836	0.364283690587335
ENSG00000278966.2	ENSG00000278966	-1.59272358431902	-1.08498715263478	1.99827539330779	0.164853219656496	0.364283690587335
MSTRG.16324	MSTRG.16324	-0.336092003185032	4.62721249342877	1.99694376157873	0.164990809543207	0.364283690587335
