gene_id	gene_name	sample02	sample03	sample04	sample09	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20
MSTRG.17920		0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MSTRG.17921	MSTRG.17921	84	44	26	73	105	102	60	38	130	162	77	41	13	82	50
MSTRG.17922	MSTRG.17922	38	31	31	63	41	97	36	46	119	175	92	52	8	80	58
MSTRG.17923		15	12	0	1	9	15	7	7	6	23	5	1	0	12	1
MSTRG.17929		0	0	0	2	0	3	0	2	26	1	0	0	0	0	1
MSTRG.17930	MSTRG.17930	44	6	20	53	30	14	17	40	34	65	31	10	9	60	15
MSTRG.17933		0	0	1	2	0	1	1	0	0	0	0	0	0	0	0
MSTRG.17934		53	13	31	60	32	24	28	41	38	67	52	21	0	20	23
MSTRG.17935		1	5	0	0	3	10	1	11	1	7	13	11	0	0	0
MSTRG.17936	MSTRG.17936	1	31	21	12	14	30	17	20	30	45	32	18	7	12	12
MSTRG.17938		1	1	0	1	1	1	0	0	0	1	0	0	0	0	0
MSTRG.17944		13	1	1	8	12	5	4	19	21	1	11	20	1	4	13
MSTRG.17947		0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
MSTRG.17948	MSTRG.17948	136	36	39	52	49	73	34	124	127	129	162	153	11	49	106
MSTRG.17949	MSTRG.17949	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
MSTRG.17950		8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MSTRG.17955	MSTRG.17955	62	272	97	81	210	100	268	62	154	155	121	138	11	73	58
MSTRG.17957		48	38	48	190	100	332	75	262	294	326	294	227	49	328	282
MSTRG.17959	MSTRG.17959	441	359	241	545	476	741	283	549	653	762	622	618	158	653	484
MSTRG.17960		3	0	2	0	0	0	0	0	0	0	0	0	0	0	0
MSTRG.17962	MSTRG.17962	233	314	153	433	309	339	344	542	976	916	790	908	139	819	583
MSTRG.17963	MSTRG.17963	30	33	2	59	57	35	39	41	55	50	38	1	7	45	6
MSTRG.17965		0	0	0	0	0	1	1	5	2	0	0	2	0	1	1
MSTRG.17966	MSTRG.17966	8	12	16	0	0	8	1	1	10	12	24	1	0	1	1
MSTRG.17967		6	1	1	4	10	10	10	0	8	0	0	0	0	1	0
MSTRG.17968	MSTRG.17968	48	19	15	66	41	24	46	20	10	39	20	35	0	28	52
MSTRG.17969		0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
MSTRG.17970	MSTRG.17970	11	14	3	12	18	25	23	9	23	38	41	30	1	43	50
MSTRG.17973	MSTRG.17973	237	175	135	99	225	252	125	379	708	802	583	400	59	374	312
MSTRG.17976	MSTRG.17976	300	108	96	270	227	406	180	353	403	554	411	271	29	276	320
MSTRG.17977	MSTRG.17977	12	25	17	26	15	14	14	10	22	4	23	15	1	34	10
MSTRG.17978		1	0	0	7	20	12	10	1	1	1	0	22	0	1	9
