"Log2MeanExon"	"Log2FC"	"pvalue"	"padj"
"MSTRG.23649:ENST00000616122.5"	3.79566040461924	2.18633555095328	2.28418689896082e-08	9.88898937122014e-06
"MSTRG.2999:ENST00000656654.1"	2.41746634233349	-2.43696249989013	2.31407768590759e-08	9.96242763303972e-06
"MSTRG.23649:ENST00000435947.6"	2.36362801257195	2.7480948666256	2.40567627467877e-08	1.02967435235379e-05
"MSTRG.8319:MSTRG.8319.5"	2.43007857931002	-2.00607933515989	2.41922561121552e-08	1.02967435235379e-05
"ENSG00000232960.12:ENST00000468132.1"	4.6692224311443	0.564114031339539	2.43181765498417e-08	1.02967435235379e-05
"MSTRG.3083:MSTRG.3083.2"	8.9247612480212	-0.272718461103143	2.58327535102027e-08	1.08782713169576e-05
"MSTRG.16892:ENST00000612074.5"	5.17671584565653	2.639683682899	2.61442377265305e-08	1.09496046069668e-05
"MSTRG.25424:ENST00000468383.5"	2.38034120313191	-1.17302757916774	2.66558886971858e-08	1.10438499719491e-05
"MSTRG.25424:ENST00000488886.1"	2.38034120313191	-1.17302757916774	2.66558886971858e-08	1.10438499719491e-05
"MSTRG.7401:MSTRG.7401.13"	2.02242911006271	2.56584110270394	2.69521293469125e-08	1.11068716135389e-05
"MSTRG.9324:ENST00000396060.7"	7.97614778178084	0.673977945922632	2.71444314488636e-08	1.11266179591081e-05
"ENSG00000275214.4:ENST00000613997.4"	11.7896806103129	0.371611220526482	2.82388810908172e-08	1.14533929190555e-05
"MSTRG.11099:ENST00000564844.1"	5.46896052469391	-0.572645386242193	2.81072078669812e-08	1.14533929190555e-05
"MSTRG.7240:ENST00000643750.1"	1.80569197215759	-1.13596191434286	2.99694547636493e-08	1.20916550942217e-05
"MSTRG.23649:ENST00000420199.6"	4.01169674333066	1.76831715755672	3.06073259417604e-08	1.22846966235622e-05
"MSTRG.23565:ENST00000678515.1"	9.56836990115346	-0.200149025038007	3.13143928141429e-08	1.25033665235413e-05
"MSTRG.3083:MSTRG.3083.9"	8.93086129191124	-0.332720284475384	3.54285801144089e-08	1.40731816534875e-05
