GeneName	FoldChange	Pvalue
SPARC	-0.307248310942731	0.0658925732017927
TFRC	-1.36131607392296	0.0659819906575537
TRIM16	-1.09196299598988	0.0662812200121028
LINC00847	1.41158268835884	0.0662812200121028
COX6A1	0.276115168465395	0.0664563998710468
SNRPN	0.346857119486163	0.0666118168754635
CCNJL	-3.51708744598679	0.0666118168754635
LAPTM4B	-0.7691980564273	0.0684501472856419
SQSTM1	-0.484862390827204	0.0684501472856419
VSTM1	2.9605732778312	0.0688434068036315
ZNF23	-5.65128833315629	0.0695712066083185
AMZ2	-1.00692416429635	0.0695712066083185
COA3	0.421910597916646	0.0698140475400637
SUB1	0.324287003157448	0.0699598965078591
TAX1BP1	-0.735353910771544	0.0700425065243962
HSPH1	-1.2678031379911	0.0704153258340991
SFTA1P	0.416724429197288	0.0704153258340991
RPS18	0.259439976082284	0.0710685209118634
MED28	0.53803690306408	0.0711400209571185
PSMB10	0.423208291349529	0.0711400209571185
DENND6B	3.50633465646549	0.0711758453124178
DANCR	0.417007333334338	0.0717245270228883
NDUFA2	0.331308948329376	0.0723161673277626
PLEC	-1.59657936760404	0.0723161673277626
UXS1	0.978176842891589	0.0736413199664199
NEDD8	0.297116328523652	0.0738772243531417
MAL2	-2.25441018736252	0.0741059035364322
HELQ	-2.67878768068957	0.0741059035364322
GGCX	0.504107470544534	0.0743284903485405
TAC4	2.3180637772008	0.0743330948045453
VSTM1	2.32181565318016	0.074478116956859
MIA3	-2.22715533320933	0.0750277282597
SERPINE2	-2.68902555331281	0.0751388063295356
ANAPC10	0.657855618092959	0.0751388063295356
DCAF13	-1.00044640303829	0.0751388063295356
CSNK2B	0.598603413561379	0.0754901175213239
KRTCAP2	0.224345403114441	0.0763224031774424
CTSF	-5.34828656761468	0.0763224031774424
S100A16	0.540114183356323	0.0772388642319904
SAR1A	0.544269754363858	0.0777270577154563
HOOK3	-3.18801807092345	0.0783793793314454
EIF1	0.226832906703573	0.0790258428302293
NEDD8	0.294144533878681	0.0810530543732225
OCIAD2	0.35659816816341	0.0810530543732225
VSTM1	2.15675720542138	0.0810530543732225
VPS29	0.393603610904037	0.0810807477653787
TAF9	0.514116132770813	0.0810807477653787
RPS9	-0.676512814789099	0.081355630455298
ELOC	0.281424339218331	0.08139681650192
TAF6	-1.05070113944993	0.0815019261547194
GASK1B	-0.729706484121493	0.0821860780050886
PANX2	-5.05073658563938	0.0822958266567792
NDUFA3	0.308899896854522	0.0823858608112197
NDUFB4	0.265296857654453	0.0830009302480519
CFAP221	-1.01877691325714	0.0830009302480519
NDUFS4	0.429515489592864	0.0838246235670722
ARPC3	0.302263946749902	0.084645788643029
RPS15	-0.659321666625125	0.0847726362613384
GTF2A2	0.36497317722873	0.0860194638043405
SARNP	0.614013846928303	0.0862514531875835
AFAP1L2	1.00634665515552	0.0864455501517459
GSDMD	-0.789504798169282	0.0877736010023256
RPL23	0.219877352058012	0.0890390215941662
BANF1	0.371632295607485	0.0890390215941662
DEPDC5	-3.43575255272352	0.0894361998176685
EIF4H	0.541848285200565	0.0894361998176685
RPS18	0.255386797760288	0.0894361998176685
NDUFA3	0.308863983138979	0.0898614129722593
SRP14	0.327876873109121	0.0900908936889943
RPS18	0.253851574632497	0.0901787526337594
OTUB1	0.366293043574441	0.0904682497132228
ZNF271P	0.425217884310543	0.0906548475446948
RECQL4	6.07127630254281	0.0917977495412695
GPHN	-5.25358303273774	0.091833064469442
